name,type,paperCount
Computer Vision and Pattern Recognition,Conference,12
Neural Information Processing Systems,Conference,6
European Conference on Computer Vision,Conference,5
IEEE International Conference on Computer Vision,Conference,4
Conference on Empirical Methods in Natural Language Processing,Conference,4
IEEE International Conference on Data Engineering,Conference,3
Italian National Conference on Sensors,Conference,3
International Conference on Human Factors in Computing Systems,Conference,3
International Conference on Learning Representations,Conference,2
IEEE Symposium on Security and Privacy,Conference,2
